sha256,MCS
FA26D4457A695CA8EECE2BDFDF616764B523524F56094976658982C3CC5B8F76,0.806205626
3E169ED78124322B2A5C666DDFD39ED2A95D43B5C57BB84E3ABE394FF2489307,0.81240589
A5691DBB9E71FA5482111A1C8508836385D5022786DBE85DE4BCEE447429EB41,0.83084535
45147A1482968D8DC14471FFF057235DD09842E7DA9BE61D0958EEB2C728DEA1,0.816016458
C47FAC9CA0654679F5680E878DF2189B907143F31B69275C9AEE6F4FCC554C69,0.842048902
8FA35F05C5A2E1149301C2F6AAAE5528E84B7ECF3DA94593A5ABEE7B3C3C6299,0.828832459
79058796590225377C0C478F6C1F46DEC8902ADD50A7E97461D0F41FBD0F1763,0.799417936
76BC31138E0C919A90EE8BA61670CF921FBC14CF78A1C94C515D235FB9CACCEC,0.782221627
4B5802CFEB8CEBCA6721B1A66F7C903E6CDF2EBF5B6B9E38BE3C67249D730265,0.805959331
58532F8ACA8D454932DDB4BA97F24D32B25792DC4298E487C5BD530B80B1A499,0.873533786
4AF11929518BDDBC783BFDD26A3891FCD7B8193E7307FE2B436880DE01FE79BD,0.790662093
5CDC7C204A862A08ECA889ED2A0D729FA18DA3B164A82FCD36FF1118369A0340,0.813802493
333196B187127C35DEFF4CB240EF614CD9261889A98644363530F82AC7040EDC,0.827515291
F59C87979795676CBF10AA5C3C3C491F70C7ED0D284B65FF7549BB5983417BA7,0.812829018
6D27AD04B560AA5A5CA8302EA15BE7D60B4518ADCE9C0B723946D5B7FE5EC0E9,0.826757211
13135C6F4936FBFD13984F859A60D303D653ABB480D52FF3290C545C2373080D,0.809825258
4EEB104BF2ABA59F12221D40F6623CB49CEC085BEC9319A4629F7AB507F377BB,0.820759789
0ED25E9D82F3B09EBD52EEF8B78C2915824E4F4D4DBD1EB5A3B7196032A608DB,0.808812414
7266DF94FB8F92C08E129E334978F3D0ECCA3DB2E54BFBAB6438D422E74918D5,0.807992855
5D95427CE631D3E138DB78C9AA7D281F24C1C273428CA8C249C2029AC3EAEB19,0.807416894
36687F70F9C314C0816FDC2C8B6BCF0B4FD4F76AF85CD509E719EF25815C384A,0.812585222
1083FED1941985C9C23B6C44636D794DECECD51E0B28F4DB01A3E4E91A4417C3,0.798639972
EC1F5DE91D968A75FCBA28AE5C2EF4A79AAEC1972A10BF644011FA3D4FA4E918,0.813471631
E59EC538A5CAA9059AD4725D627758422D54EAF92635665BEEAE31A944194112,0.804577894
1C6B5CDF066AF85AAB5B4E4AC028AD8B2FAB2C3328EB4487ECCBB851A5436161,0.798667854
8795C6A24626F2FE2A1962C9C02FC63C7C8A8D6DC130174EA1573913399ECC73,0.803481737
2FED370064E6CCB6E64014C5E55DEDE8F1B772B19AEC32694BE58CF3A3886472,0.811903138
0BB995D535B156CBEB352446C0B2EC203979FA6EE1D748098C46A3963AEC91C7,0.790233617
70D9620044DA08EF29B5CC231C2AB5A99C95E407CA281A0AC367DB439BD55793,0.817545102
85102AB0ED73B88484109B25C4A934B7894181D635F30AF95603CC45358B9454,0.796678015
FBDD30B8970A90CC8854016DF5A69C8B74558E1E443E3ECB3A95402402ACDA2C,0.781005395
AF7BCA5E5C3A7167378D309862D38D2BB4A9AE6D3C146DF9F518911DF78951B7,0.784278947
07C1102956B997D772690640FF2B318C611FC28E8E8F283ED48654C0BD41BEA2,0.816683868
D6C72BD4ACA77277F59D194674716C722C14477A8E1042FC04CDB6CED4EB3E3A,0.798846781
1E1872D23848302DCF815DEBFC32601C4CD0AFCCAAF9C9C6AA4E30D412E3EA34,0.837722082
AE0BED8E8AE432FFE9B20393E0BC777F8DB43AC6F993918C9C0C8B3D19ACC200,0.8544343
22A45D4CB8E330B505B669D2C62B5300BD65F3CE1C1FEF7853B2800691A11248,0.782409304
B1908D38E44242EECE0CC1D11E51CF482400977F110D8210FF9C12D7365AF743,0.787013222
864E5E2A769E478A6EC43A8A8CF0988488F50A5B7BA7ECFB94D8F88B78386103,0.832187528
